parameter,value,accuracy,critical_weight,num_neurons,num_output_neurons,leak_coefficient,refractory_period,membrane_threshold,small_world_p,small_world_k
num_neurons,1000.0,0.6775,0.032151057999999996,1000,400,0,2,2.0,0.2,100
num_neurons,1500.0,0.6675,0.032151057999999996,1500,400,0,2,2.0,0.2,100
num_neurons,2000.0,0.655,0.032151057999999996,2000,400,0,2,2.0,0.2,100
num_neurons,2500.0,0.6825,0.032151057999999996,2500,400,0,2,2.0,0.2,100
num_neurons,3000.0,0.69,0.032151057999999996,3000,400,0,2,2.0,0.2,100
num_neurons,3500.0,0.6775,0.032151057999999996,3500,400,0,2,2.0,0.2,100
num_neurons,4000.0,0.72,0.032151057999999996,4000,400,0,2,2.0,0.2,100
num_output_neurons,200.0,0.705,0.032151057999999996,1000,200,0,2,2.0,0.2,100
num_output_neurons,300.0,0.66,0.032151057999999996,1000,300,0,2,2.0,0.2,100
num_output_neurons,400.0,0.7075,0.032151057999999996,1000,400,0,2,2.0,0.2,100
num_output_neurons,500.0,0.685,0.032151057999999996,1000,500,0,2,2.0,0.2,100
num_output_neurons,600.0,0.69,0.032151057999999996,1000,600,0,2,2.0,0.2,100
num_output_neurons,700.0,0.675,0.032151057999999996,1000,700,0,2,2.0,0.2,100
num_output_neurons,800.0,0.6875,0.032151057999999996,1000,800,0,2,2.0,0.2,100
refractory_period,3.0,0.66,0.028226586999999997,1000,400,0,3,2.0,0.2,100
refractory_period,4.0,0.6725,0.024302116,1000,400,0,4,2.0,0.2,100
refractory_period,5.0,0.6675,0.020377644999999996,1000,400,0,5,2.0,0.2,100
refractory_period,6.0,0.6675,0.016453174,1000,400,0,6,2.0,0.2,100
refractory_period,7.0,0.665,0.012528703,1000,400,0,7,2.0,0.2,100
refractory_period,8.0,0.635,0.008604232,1000,400,0,8,2.0,0.2,100
membrane_threshold,2.0,0.6925,0.032151057999999996,1000,400,0,2,2.0,0.2,100
membrane_threshold,2.25,0.6925,0.037151058,1000,400,0,2,2.25,0.2,100
membrane_threshold,2.5,0.6825,0.042151058,1000,400,0,2,2.5,0.2,100
membrane_threshold,2.75,0.6775,0.047151057999999996,1000,400,0,2,2.75,0.2,100
membrane_threshold,3.0,0.6875,0.052151058,1000,400,0,2,3.0,0.2,100
membrane_threshold,3.5,0.655,0.062151058,1000,400,0,2,3.5,0.2,100
membrane_threshold,4.0,0.6575,0.072151058,1000,400,0,2,4.0,0.2,100
small_world_p,0.1,0.69,0.032151057999999996,1000,400,0,2,2.0,0.1,100
small_world_p,0.15,0.7175,0.032151057999999996,1000,400,0,2,2.0,0.15,100
small_world_p,0.2,0.69,0.032151057999999996,1000,400,0,2,2.0,0.2,100
small_world_p,0.25,0.6925,0.032151057999999996,1000,400,0,2,2.0,0.25,100
small_world_p,0.3,0.6925,0.032151057999999996,1000,400,0,2,2.0,0.3,100
small_world_p,0.35,0.6475,0.032151057999999996,1000,400,0,2,2.0,0.35,100
small_world_p,0.4,0.69,0.032151057999999996,1000,400,0,2,2.0,0.4,100
small_world_k,100.0,0.6875,0.032151057999999996,1000,400,0,2,2.0,0.2,100
small_world_k,150.0,0.665,0.021434038666666665,1000,400,0,2,2.0,0.2,150
small_world_k,200.0,0.6575,0.016075528999999998,1000,400,0,2,2.0,0.2,200
small_world_k,250.0,0.6475,0.0128604232,1000,400,0,2,2.0,0.2,250
small_world_k,300.0,0.63,0.010717019333333333,1000,400,0,2,2.0,0.2,300
small_world_k,350.0,0.615,0.009186016571428571,1000,400,0,2,2.0,0.2,350
small_world_k,400.0,0.6225,0.008037764499999999,1000,400,0,2,2.0,0.2,400
