parameter,value,accuracy,critical_weight,num_neurons,num_output_neurons,leak_coefficient,refractory_period,membrane_threshold,small_world_p,small_world_k
num_neurons,1000.0,0.6575,0.010008739,1000,600,0.0,7,2.0,0.3,200
num_neurons,2000.0,0.64,0.010008739,2000,600,0.0,7,2.0,0.3,200
num_neurons,3000.0,0.6225,0.010008739,3000,600,0.0,7,2.0,0.3,200
num_neurons,4000.0,0.625,0.010008739,4000,600,0.0,7,2.0,0.3,200
num_output_neurons,400.0,0.615,0.010008739,3000,400,0.0,7,2.0,0.3,200
num_output_neurons,600.0,0.6525,0.010008739,3000,600,0.0,7,2.0,0.3,200
num_output_neurons,800.0,0.645,0.010008739,3000,800,0.0,7,2.0,0.3,200
refractory_period,5.0,0.68,0.012863384999999998,3000,600,0.0,5,2.0,0.3,200
refractory_period,7.0,0.6425,0.010008739,3000,600,0.0,7,2.0,0.3,200
refractory_period,10.0,0.6425,0.005726769999999999,3000,600,0.0,10,2.0,0.3,200
membrane_threshold,1.5,0.6,0.005008739,3000,600,0.0,7,1.5,0.3,200
membrane_threshold,2.0,0.6125,0.010008739,3000,600,0.0,7,2.0,0.3,200
membrane_threshold,2.5,0.655,0.015008739,3000,600,0.0,7,2.5,0.3,200
small_world_p,0.2,0.65,0.010008739,3000,600,0.0,7,2.0,0.2,200
small_world_p,0.3,0.62,0.010008739,3000,600,0.0,7,2.0,0.3,200
small_world_p,0.4,0.6375,0.010008739,3000,600,0.0,7,2.0,0.4,200
small_world_k,150.0,0.6425,0.013344985333333333,3000,600,0.0,7,2.0,0.3,150
small_world_k,200.0,0.6275,0.010008739,3000,600,0.0,7,2.0,0.3,200
small_world_k,250.0,0.6325,0.0080069912,3000,600,0.0,7,2.0,0.3,250
leak_coefficient,0.0,0.645,0.010008739,3000,600,0.0,7,2.0,0.3,200
leak_coefficient,0.05,0.25,0.010008739,3000,600,0.05,7,2.0,0.3,200
leak_coefficient,0.1,0.25,0.010008739,3000,600,0.1,7,2.0,0.3,200
