iteration,accuracy,critical_weight,num_neurons,num_output_neurons,leak_coefficient,refractory_period,membrane_threshold,small_world_p,small_world_k
1,0.6175,0.024290707999999998,3500,200,0,3,2.25,0.2,150
2,0.615,0.005363384999999999,1500,300,0,10,2.5,0.25,400
3,0.25,1.1651999999999774e-05,2500,700,0,7,1.0,0.35,150
4,0.62,0.004903666285714286,3500,700,0,8,2.0,0.3,350
5,0.6325,0.004493362857142857,1000,600,0,5,1.5,0.3,350
6,0.25,8.73899999999983e-06,2500,600,0,7,1.0,0.2,200
7,0.67,0.0108651328,4000,400,0,8,2.5,0.25,250
8,0.6475,0.007760809142857142,2000,500,0,8,2.5,0.15,350
9,0.67,0.004290708,2500,600,0,4,1.0,0.1,200
10,0.6425,0.0061245891428571425,1500,700,0,3,1.5,0.3,350
11,0.645,0.0019680310000000003,1000,800,0,6,1.25,0.2,400
12,0.6375,0.010478687333333332,2000,700,0,3,2.0,0.1,300
13,0.6675,0.015726769999999998,1500,400,0,5,1.5,0.25,100
14,0.6475,0.033581415999999996,2000,300,0,4,2.25,0.25,100
15,0.6325,0.010290707999999999,3000,300,0,5,2.0,0.15,250
16,0.6875,0.023581415999999997,2000,200,0,4,1.75,0.15,100
17,0.635,0.006431692499999999,3500,500,0,5,2.0,0.1,400
18,0.62,0.0091090155,4000,600,0,3,2.25,0.2,400
19,0.6575,0.011441887999999999,2500,400,0,8,2.0,0.15,150
20,0.59,0.006332237714285714,2000,500,0,8,2.25,0.15,350
