parameter,value,accuracy,critical_weight,num_neurons,num_output_neurons,leak_coefficient,refractory_period,membrane_threshold,small_world_p,small_world_k
membrane_threshold,1.0,0.675,0.004302116,1000,400,0,4,1.0,0.2,100
membrane_threshold,1.25,0.695,0.009302116000000001,1000,400,0,4,1.25,0.2,100
membrane_threshold,1.5,0.685,0.014302116,1000,400,0,4,1.5,0.2,100
membrane_threshold,1.75,0.69,0.019302116,1000,400,0,4,1.75,0.2,100
membrane_threshold,2.0,0.715,0.024302116,1000,400,0,4,2.0,0.2,100
membrane_threshold,2.25,0.69,0.029302116,1000,400,0,4,2.25,0.2,100
membrane_threshold,2.5,0.685,0.034302116,1000,400,0,4,2.5,0.2,100
membrane_threshold,2.75,0.6725,0.039302116,1000,400,0,4,2.75,0.2,100
membrane_threshold,3.0,0.6725,0.044302115999999996,1000,400,0,4,3.0,0.2,100
membrane_threshold,3.5,0.695,0.054302116,1000,400,0,4,3.5,0.2,100
membrane_threshold,3.75,0.67,0.059302115999999995,1000,400,0,4,3.75,0.2,100
membrane_threshold,4.0,0.7025,0.06430211599999999,1000,400,0,4,4.0,0.2,100
membrane_threshold,4.25,0.6725,0.069302116,1000,400,0,4,4.25,0.2,100
membrane_threshold,4.5,0.675,0.074302116,1000,400,0,4,4.5,0.2,100
membrane_threshold,4.75,0.6925,0.07930211599999999,1000,400,0,4,4.75,0.2,100
membrane_threshold,5.0,0.675,0.084302116,1000,400,0,4,5.0,0.2,100
membrane_threshold,5.25,0.6575,0.089302116,1000,400,0,4,5.25,0.2,100
membrane_threshold,5.5,0.68,0.09430211599999999,1000,400,0,4,5.5,0.2,100
membrane_threshold,5.75,0.6725,0.099302116,1000,400,0,4,5.75,0.2,100
membrane_threshold,6.0,0.675,0.104302116,1000,400,0,4,6.0,0.2,100
membrane_threshold,6.25,0.685,0.109302116,1000,400,0,4,6.25,0.2,100
membrane_threshold,6.5,0.6825,0.114302116,1000,400,0,4,6.5,0.2,100
membrane_threshold,6.75,0.665,0.119302116,1000,400,0,4,6.75,0.2,100
membrane_threshold,7.0,0.655,0.124302116,1000,400,0,4,7.0,0.2,100
membrane_threshold,7.25,0.6675,0.129302116,1000,400,0,4,7.25,0.2,100
membrane_threshold,7.5,0.6575,0.134302116,1000,400,0,4,7.5,0.2,100
membrane_threshold,7.75,0.6775,0.139302116,1000,400,0,4,7.75,0.2,100
membrane_threshold,8.0,0.6725,0.144302116,1000,400,0,4,8.0,0.2,100
membrane_threshold,8.25,0.6825,0.14930211599999998,1000,400,0,4,8.25,0.2,100
membrane_threshold,8.5,0.69,0.154302116,1000,400,0,4,8.5,0.2,100
membrane_threshold,8.75,0.6675,0.159302116,1000,400,0,4,8.75,0.2,100
membrane_threshold,9.0,0.6675,0.164302116,1000,400,0,4,9.0,0.2,100
membrane_threshold,9.25,0.6825,0.169302116,1000,400,0,4,9.25,0.2,100
membrane_threshold,9.5,0.6875,0.174302116,1000,400,0,4,9.5,0.2,100
membrane_threshold,9.75,0.655,0.179302116,1000,400,0,4,9.75,0.2,100
membrane_threshold,10.0,0.68,0.184302116,1000,400,0,4,10.0,0.2,100
